Job Title,Job ID,Location,Experience,Apply Link
Sr Product Manager,200023224,"India, Karnataka, Bangalore",7+ years,https://apply.careers.microsoft.com/careers/job/1970393556747846
Senior Technical Program Manager,200023612,"India, Telangana, Hyderabad",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556748658
Principal Firmware Validation Manager,200023950,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556749246
Principal Engineering Manager,200024014,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556749410
Principal Group Research Manager,200024027,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556749427
Product Manager II,200024528,"India, Telangana, Hyderabad",2+ years,https://apply.careers.microsoft.com/careers/job/1970393556750347
Cloud Solution Architecture,200024696,"India, Telangana, Hyderabad",10+ years,https://apply.careers.microsoft.com/careers/job/1970393556750603
Principal Engineering Manager,200025421,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556751543
Senior Software Engineer,200025680,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556751942
Senior Product Manager,200025727,"India, Telangana, Hyderabad",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556752105
Principal Group Engineering Manager,200025992,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556752465
Software Engineering,200026019,"India, Karnataka, Bangalore",2+ years,https://apply.careers.microsoft.com/careers/job/1970393556752513
Product Manager II,200026038,"India, Karnataka, Bangalore",2+ years,https://apply.careers.microsoft.com/careers/job/1970393556752597
Senior Technical Program Manager,200026148,"India, Telangana, Hyderabad",4+ years,https://apply.careers.microsoft.com/careers/job/1970393556752726
Senior Business & Strategy Program Manager,200026240,"India, Telangana, Hyderabad",4+ years,https://apply.careers.microsoft.com/careers/job/1970393556752916
Principal Software Engineering Manager,200026252,"India, Karnataka, Bangalore",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556752982
Principal Software Engineering Manager,200026274,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556753022
Senior Software Engineering Manager,200026349,"India, Telangana, Hyderabad",2+ years,https://apply.careers.microsoft.com/careers/job/1970393556753145
"Architect Manager, AI & Business Solutions",200026405,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556753207
Principal Software Engineering Manager,200026433,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556753237
Principal Software Engineering Manager,200026532,"India, Uttar Pradesh, Noida",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556753378
Software Engineer II,200026572,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556753459
AI & Apps Solution Architect,200026910,"India, Karnataka, Bangalore",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556753971
Software Engineering Manager,200026963,"India, Uttar Pradesh, Noida",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556754067
Senior Software Engineer,200026967,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556754068
Principal Software Engineering Manager,200027175,"India, Karnataka, Bangalore",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556754349
Business Support ATR-C,200027235,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556754449
Principal Silicon Validation Manager,200027299,"India, Karnataka, Bangalore",15+ years,https://apply.careers.microsoft.com/careers/job/1970393556754559
Principal Product Manager,200027552,"India, Karnataka, Bangalore",10+ years,https://apply.careers.microsoft.com/careers/job/1970393556754923
Principal Software Engineering Manager,200027594,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556754971
Principal Software Engineering Manager,200027625,"India, Uttar Pradesh, Noida",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556755008
Senior Product Manager,200027631,"India, Telangana, Hyderabad",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556755014
Senior Software Engineering Manager,200027735,"India, Uttar Pradesh, Noida",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556755170
Product Manager II,200027841,"India, Telangana, Hyderabad",2+ years,https://apply.careers.microsoft.com/careers/job/1970393556755454
Principal Data Architect,200028101,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556756404
Principal Squad Leader,200028127,"India, Telangana, Hyderabad",13+ years,https://apply.careers.microsoft.com/careers/job/1970393556756448
Principal Engineering Manager,200028150,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556756512
Principal Group Engineering Manager,200028152,"India, Karnataka, Bangalore",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556756871
Product Manager II,200028217,"India, Telangana, Hyderabad",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556760014
Principal Software Engineer AI/ML,200028249,"India, Telangana, Hyderabad",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556760127
Principal Engineering Manager,200028380,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556768536
Cloud Solution Architecture Manager (AI),200028387,"India, Maharashtra, Pune",6+ years,https://apply.careers.microsoft.com/careers/job/1970393556768544
Senior Software Engineer,200028517,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556768716
Principal Product Manager,200028782,"India, Telangana, Hyderabad",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556791167
Principal Product Manager,200028802,"India, Telangana, Hyderabad",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556801934
Product Management IC5,200028815,"India, Telangana, Hyderabad",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556802453
Principal Group PM Manager,200029119,"India, Telangana, Hyderabad",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556803480
Technical Program Manager,200029261,"India, Karnataka, Bangalore",2+ years,https://apply.careers.microsoft.com/careers/job/1970393556803827
Product Manager II,200029267,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556803850
Product Manager II,200029268,"India, Karnataka, Bangalore",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556803853
Principal Software Engineering Manager,200029409,"India, Uttar Pradesh, Noida",Not specified,https://apply.careers.microsoft.com/careers/job/1970393556804106
Senior Technical Program Manager,200029452,"India, Telangana, Hyderabad",8+ years,https://apply.careers.microsoft.com/careers/job/1970393556812416
Senior Service Engineer,200029645,"India, Telangana, Hyderabad",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556819514
Senior Software Engineering Manager,200029668,"India, Uttar Pradesh, Noida",5+ years,https://apply.careers.microsoft.com/careers/job/1970393556819776
Principal Software Engineer,200030081,"India, Telangana, Hyderabad",10+ years,https://apply.careers.microsoft.com/careers/job/1970393556824255
